a,b,group_a,group_b,cross_group,hedge_ratio,level_corr,resid_std_ratio,eg_p,adf_p,half_life
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,galaxy_sounds,uv_visors,True,0.37254223041912776,0.768073464952093,0.6403617356123692,0.0020789969011992507,0.0003007527198341386,534.0962069681694
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,pebbles,oxygen_shakes,True,-0.9036442168037813,-0.8576457785534997,0.5142409148729431,0.0022195372873299404,0.0004295692669204685,548.5671389978863
PEBBLES_XL,PANEL_2X4,pebbles,panels,True,2.482033838631204,0.876256157006323,0.48184556375306636,0.003663192891054677,0.000806463253424059,592.8650444622509
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,uv_visors,snackpacks,True,-2.4503299673109256,-0.893628623005634,0.4488071792485662,0.003912413715868806,0.0008481351555580945,594.4838260434584
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,sleep_pods,snackpacks,True,2.352961468536318,0.8751293286642214,0.48388909691344484,0.004379220730575343,0.000957649823654001,617.2171172379238
PEBBLES_XL,ROBOT_DISHES,pebbles,robots,True,2.560504481139122,0.8022741865996894,0.5969557182202099,0.004421866419894602,0.0009616421124340972,467.3766382456791
PEBBLES_S,ROBOT_DISHES,pebbles,robots,True,-1.240485717012532,-0.8286543429403102,0.559760645210221,0.007790071123697167,0.0018925559665185603,411.3036080680353
PEBBLES_XS,UV_VISOR_AMBER,pebbles,uv_visors,True,1.3933927013805232,0.9582978958301498,0.28577113718412356,0.008225500859270221,0.0017197624534993476,678.7078308849941
MICROCHIP_TRIANGLE,UV_VISOR_RED,microchips,uv_visors,True,-1.2086234693257076,-0.8523548245068125,0.5229639118906398,0.010925182425394255,0.0023913109418156144,673.3708525642954
ROBOT_DISHES,PANEL_2X4,robots,panels,True,0.7013185846236112,0.7902080569616621,0.6128386628737408,0.011062688705470473,0.003433875152842287,408.20198934996745
PEBBLES_M,ROBOT_IRONING,pebbles,robots,True,-0.7284386604086752,-0.8165655606171517,0.5772527048130626,0.01223419132059086,0.002891288136565104,727.0661373242588
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,galaxy_sounds,robots,True,1.4447996878241216,0.8391011310368317,0.5439754515533857,0.012591059450333312,0.0030986988623571982,439.0029161797145
PEBBLES_S,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,True,-0.7726983166508582,-0.8840357726465231,0.46741924723021927,0.013762016840822807,0.0031163745429563143,691.821258069558
PEBBLES_M,SNACKPACK_PISTACHIO,pebbles,snackpacks,True,-2.5589817152431795,-0.697563750555116,0.7165227239323816,0.014523977100719936,0.0033690876281931813,781.6233215501683
TRANSLATOR_VOID_BLUE,SNACKPACK_STRAWBERRY,translators,snackpacks,True,1.280630331036999,0.8037969997139818,0.5949036756070695,0.016013871592836768,0.004274656439453691,761.3638632161889
ROBOT_DISHES,OXYGEN_SHAKE_GARLIC,robots,oxygen_shakes,True,0.46599157995229723,0.798098142141223,0.602527472826533,0.01680609466495634,0.005247316594618372,420.39215036404374
UV_VISOR_MAGENTA,TRANSLATOR_VOID_BLUE,uv_visors,translators,True,0.870330865449637,0.8216761167539753,0.569954699213988,0.01990439878548327,0.006112934517531067,783.3896687364825
SLEEP_POD_NYLON,UV_VISOR_RED,sleep_pods,uv_visors,True,0.6553573451114414,0.7571102490031459,0.6532871274213157,0.023050112228405743,0.0046024345129437585,914.8150491251712
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,microchips,oxygen_shakes,True,0.7880518166127398,0.8296206184280295,0.5583275288565789,0.023973531436354143,0.005904020986508975,752.1977760324645
MICROCHIP_RECTANGLE,TRANSLATOR_ASTRO_BLACK,microchips,translators,True,1.252972836358553,0.8159876203984721,0.5780693759026152,0.025007059586112376,0.005661951573992846,842.4975720548438
PEBBLES_S,PANEL_2X4,pebbles,panels,True,-1.1018096118901928,-0.8293050407569522,0.5587961608449988,0.025193743047123077,0.006324248851050406,787.9540547509049
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,sleep_pods,uv_visors,True,-0.9226324406151635,-0.9409220472382096,0.338623243474302,0.025241746745184968,0.006033778368087056,818.2246042592401
MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,microchips,microchips,False,-2.147323256002342,-0.8822983028170653,0.4706906678978521,0.026208578953050888,0.006305474604780463,819.3452616312641
GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_M,galaxy_sounds,pebbles,True,0.6154002725158064,0.7822481934929065,0.6229669042389686,0.03150835676470415,0.007325992879520551,812.0774281229849
PEBBLES_M,ROBOT_MOPPING,pebbles,robots,True,0.6962325441398437,0.776546805407524,0.6300595678278118,0.03156109863677617,0.008606581005355525,878.7362354010934
PEBBLES_XS,SNACKPACK_STRAWBERRY,pebbles,snackpacks,True,-3.390715369218873,-0.8504540181304757,0.5260493922111579,0.032031675551001705,0.007436029047173029,829.4050849927029
UV_VISOR_RED,PANEL_2X2,uv_visors,panels,True,-0.7119497707075633,-0.8174364371646597,0.5760188114945095,0.03300685236184423,0.008934904368767657,886.2677701184169
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,sleep_pods,microchips,True,0.4516267719120266,0.9184890103606179,0.395446504405808,0.03367182095214904,0.008475598898704206,816.9921687787429
UV_VISOR_RED,OXYGEN_SHAKE_CHOCOLATE,uv_visors,oxygen_shakes,True,0.6886545920313982,0.6568840653171654,0.7539915946032781,0.03851871549764724,0.009366324952675443,1139.9260112636357
