a,b,pearson_ret,abs_pearson,dcor,mi,dcor_minus_pearson
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_GARLIC,0.01300188887305818,0.01300188887305818,0.05874340328069946,0.02462139717256484,0.045741514407641286
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.003176624512951637,0.003176624512951637,0.04346528532625984,0.0,0.0402886608133082
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.006776570793153752,0.006776570793153752,0.044755461255133876,0.0,0.03797889046198012
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_GARLIC,0.003192108820457584,0.003192108820457584,0.03916539244280713,0.017308429271464476,0.03597328362234955
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,0.0088115413751521,0.0088115413751521,0.042815400540344856,0.0059510261375930185,0.03400385916519276
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,0.006958073217187,0.006958073217187,0.03792600084131492,0.0,0.030967927624127922
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,0.007159148928150823,0.007159148928150823,0.037816051969902294,0.00456257776095903,0.03065690304175147
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,0.006643705650532763,0.006643705650532763,0.03665671115005664,0.0,0.03001300549952388
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.009184586180367566,0.009184586180367566,0.037643060282990644,0.03142897021163371,0.028458474102623078
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,0.005392790450853768,0.005392790450853768,0.030892998886051,0.012881814222307497,0.025500208435197232
