product,r_xs_std,r_xs_acf_lag1,r_xs_adf_p,r_xs_half_life,naive_resid_adf_p,naive_resid_half_life
OXYGEN_SHAKE_EVENING_BREATH,0.9980976088787251,0.9996944821161763,0.21905660419019274,2108.4914168230803,0.2947716687909626,2639.3558405127965
OXYGEN_SHAKE_GARLIC,0.8353800649410374,0.9997825162417662,0.27379901165898357,2678.4844156538265,0.48491723873956954,5907.434000993427
OXYGEN_SHAKE_CHOCOLATE,0.8826994310449269,0.9997786469453188,0.5366093540308018,3571.3783770885207,0.341674745020869,2422.6610488906254
OXYGEN_SHAKE_MINT,1.041857513856101,0.999812727438247,0.5472979388477563,3747.3616311917453,0.555231558415058,4874.810823804523
OXYGEN_SHAKE_MORNING_BREATH,1.1726671600553826,0.9998991910222805,0.8175161755170484,9614.291353954297,0.8883808105038485,15017.097084207353
